modell,teststandort,alpha,mae_direkte_fehlerprognose
RIX + Gelaendehoehe,Borken-Coesfeld,1.0,0.0315896612652869
RIX + Gelaendehoehe,Lorup,1.0,0.0463048991514596
RIX + Gelaendehoehe,Ostfriesland,1.0,0.0300583672308756
RIX + Gelaendehoehe,Paderborn,1.0,0.0541705740742975
RIX + Gelaendehoehe,Rheda-Beckum,1.0,0.0254814524940314
RIX + Rauigkeit,Alpen-Sevelen,1.0,0.0253740811671963
RIX + Rauigkeit,Altenmellrich,1.0,0.05378772352058
RIX + Rauigkeit,Bad Berleburg,0.1,0.4281334572784662
RIX + Rauigkeit,Borken-Coesfeld,1.0,0.0371131255478316
RIX + Rauigkeit,Lorup,1.0,0.0589842457844705
RIX + Rauigkeit,Ostfriesland,1.0,0.0383190182461181
RIX + Rauigkeit,Paderborn,10.0,0.0514634057355835
RIX + Rauigkeit,Rheda-Beckum,1.0,0.0240360183543032
RIX + Wald,Alpen-Sevelen,1.0,0.0240993683530166
RIX + Wald,Altenmellrich,1.0,0.0514013459424535
RIX + Wald,Bad Berleburg,1.0,0.0684415710867181
RIX + Wald,Borken-Coesfeld,1.0,0.0306778420329673
RIX + Wald,Lorup,1.0,0.0620383609042811
RIX + Wald,Ostfriesland,1.0,0.0284435185942928
RIX + Wald,Paderborn,10.0,0.0511585976681521
RIX + Wald,Rheda-Beckum,1.0,0.0229255631865091
RIX + Wind,Alpen-Sevelen,1.0,0.0197836005693261
RIX + Wind,Altenmellrich,1.0,0.0542377705913081
RIX + Wind,Bad Berleburg,1.0,0.0861423617189046
RIX + Wind,Borken-Coesfeld,1.0,0.0254495352444545
RIX + Wind,Lorup,1.0,0.0382017730284105
RIX + Wind,Ostfriesland,1.0,0.0284639537094597
RIX + Wind,Paderborn,10.0,0.050505814391979
RIX + Wind,Rheda-Beckum,1.0,0.020916160407383
Gelaendehoehe + Rauigkeit,Alpen-Sevelen,1.0,0.0272307815953804
Gelaendehoehe + Rauigkeit,Altenmellrich,1.0,0.0527739785691481
Gelaendehoehe + Rauigkeit,Bad Berleburg,0.1,0.0641181840989929
Gelaendehoehe + Rauigkeit,Borken-Coesfeld,1.0,0.0457485066886731
Gelaendehoehe + Rauigkeit,Lorup,1.0,0.0634013081944747
Gelaendehoehe + Rauigkeit,Ostfriesland,1.0,0.0403742975392681
Gelaendehoehe + Rauigkeit,Paderborn,1.0,0.055839259147354
Gelaendehoehe + Rauigkeit,Rheda-Beckum,1.0,0.0266244161248034
Gelaendehoehe + Wald,Alpen-Sevelen,1.0,0.0276823340698704
Gelaendehoehe + Wald,Altenmellrich,1.0,0.0479476059846267
Gelaendehoehe + Wald,Bad Berleburg,1.0,0.0485771364258222
Gelaendehoehe + Wald,Borken-Coesfeld,1.0,0.0402310804809726
Gelaendehoehe + Wald,Lorup,1.0,0.0675999630189713
Gelaendehoehe + Wald,Ostfriesland,1.0,0.032985991013183
Gelaendehoehe + Wald,Paderborn,1.0,0.0554734856037818
Gelaendehoehe + Wald,Rheda-Beckum,1.0,0.0251400714900872
Gelaendehoehe + Wind,Alpen-Sevelen,1.0,0.0203938050125095
Gelaendehoehe + Wind,Altenmellrich,1.0,0.0543090947389325
Gelaendehoehe + Wind,Bad Berleburg,1.0,0.0559889404327383
Gelaendehoehe + Wind,Borken-Coesfeld,1.0,0.0308889631537963
Gelaendehoehe + Wind,Lorup,1.0,0.0415330970504862
Gelaendehoehe + Wind,Ostfriesland,1.0,0.030568599794295
Gelaendehoehe + Wind,Paderborn,1.0,0.0543149206282616
Gelaendehoehe + Wind,Rheda-Beckum,1.0,0.0224788757546508
Rauigkeit + Wald,Alpen-Sevelen,1.0,0.0325538009709796
Rauigkeit + Wald,Altenmellrich,1.0,0.0518892721537754
Rauigkeit + Wald,Bad Berleburg,0.1,0.0463530789361401
Rauigkeit + Wald,Borken-Coesfeld,1.0,0.045241752389716
Rauigkeit + Wald,Lorup,1.0,0.0825241142129102
Rauigkeit + Wald,Ostfriesland,1.0,0.0387671055470416
Rauigkeit + Wald,Paderborn,1.0,0.049907170948936
Rauigkeit + Wald,Rheda-Beckum,1.0,0.0233242034961238
Rauigkeit + Wind,Alpen-Sevelen,1.0,0.0215658611791952
Rauigkeit + Wind,Altenmellrich,1.0,0.0556476414804846
Rauigkeit + Wind,Bad Berleburg,0.1,0.1307771747398899
Rauigkeit + Wind,Borken-Coesfeld,1.0,0.0324391745176669
Rauigkeit + Wind,Lorup,1.0,0.0479239306378213
Rauigkeit + Wind,Ostfriesland,1.0,0.0347489883868392
Rauigkeit + Wind,Paderborn,1.0,0.0498195548440611
Rauigkeit + Wind,Rheda-Beckum,1.0,0.0211994577444256
Wald + Wind,Alpen-Sevelen,1.0,0.0205278318520889
Wald + Wind,Altenmellrich,1.0,0.0519428059113134
