standort,zielcluster,referenzpaar,gewichtungsverfahren,log_transferfehler_kombiniert
Bad Berleburg,BB-01,BB-02--BB-03,1/d^2,-0.0674955685498256
Bad Berleburg,BB-01,BB-02--BB-03,Wald + Wind,-0.067678358177611
Bad Berleburg,BB-01,BB-02--BB-03,Vollstaendig,-0.0676083069848266
Bad Berleburg,BB-01,BB-02--BB-04,Gleichgewichtung,-0.1141181826927076
Bad Berleburg,BB-01,BB-02--BB-04,1/d^2,-0.1013071069557287
Bad Berleburg,BB-01,BB-02--BB-04,Wald + Wind,-0.110900353129581
Bad Berleburg,BB-01,BB-02--BB-04,Vollstaendig,-0.11386681381603
Bad Berleburg,BB-01,BB-02--BB-05,Gleichgewichtung,-0.1263106085661758
Bad Berleburg,BB-01,BB-02--BB-05,1/d^2,-0.0950763119021204
Bad Berleburg,BB-01,BB-02--BB-05,Wald + Wind,-0.1285667970680943
Bad Berleburg,BB-01,BB-02--BB-05,Vollstaendig,-0.1361348921382195
Bad Berleburg,BB-01,BB-02--BB-06,Gleichgewichtung,-0.1297356775498717
Bad Berleburg,BB-01,BB-02--BB-06,1/d^2,-0.0875923601889663
Bad Berleburg,BB-01,BB-02--BB-06,Wald + Wind,-0.1124459396139465
Bad Berleburg,BB-01,BB-02--BB-06,Vollstaendig,-0.1174505670991582
Bad Berleburg,BB-01,BB-02--BB-07,Gleichgewichtung,-0.0878112457040895
Bad Berleburg,BB-01,BB-02--BB-07,1/d^2,-0.0740733415224847
Bad Berleburg,BB-01,BB-02--BB-07,Wald + Wind,-0.0848327418316423
Bad Berleburg,BB-01,BB-02--BB-07,Vollstaendig,-0.0837794764527079
Bad Berleburg,BB-01,BB-03--BB-04,Gleichgewichtung,-0.1110854524825087
Bad Berleburg,BB-01,BB-03--BB-04,1/d^2,-0.0926934143907991
Bad Berleburg,BB-01,BB-03--BB-04,Wald + Wind,-0.1052195603845976
Bad Berleburg,BB-01,BB-03--BB-04,Vollstaendig,-0.1072135230484311
Bad Berleburg,BB-01,BB-03--BB-05,Gleichgewichtung,-0.1232407327288999
Bad Berleburg,BB-01,BB-03--BB-05,1/d^2,-0.0861032146362235
Bad Berleburg,BB-01,BB-03--BB-05,Wald + Wind,-0.122464577874357
Bad Berleburg,BB-01,BB-03--BB-05,Vollstaendig,-0.1290101250077154
Bad Berleburg,BB-01,BB-03--BB-06,Gleichgewichtung,-0.1266552853545973
Bad Berleburg,BB-01,BB-03--BB-06,1/d^2,-0.0793189110664442
Bad Berleburg,BB-01,BB-03--BB-06,Wald + Wind,-0.1055969728132388
Bad Berleburg,BB-01,BB-03--BB-06,Vollstaendig,-0.1092616054636712
